date,raw_daily,raw_weekly,prefecture
2020-01-02,29.0,3.0,Ishikawa
2020-01-03,28.0,3.0,Ishikawa
2020-01-04,30.0,3.0,Ishikawa
2015-12-27,0.0,0.0,Fukui
2015-12-28,0.0,0.0,Fukui
2015-12-29,0.0,0.0,Fukui
2015-12-30,0.0,0.0,Fukui
2015-12-31,0.0,0.0,Fukui
2016-01-01,0.0,0.0,Fukui
2016-01-02,0.0,0.0,Fukui
2016-01-03,0.0,0.0,Fukui
2016-01-04,0.0,0.0,Fukui
2016-01-05,0.0,0.0,Fukui
2016-01-06,0.0,0.0,Fukui
2016-01-07,0.0,0.0,Fukui
2016-01-08,0.0,0.0,Fukui
2016-01-09,0.0,0.0,Fukui
2016-01-10,7.0,3.0,Fukui
2016-01-11,0.0,3.0,Fukui
2016-01-12,0.0,3.0,Fukui
2016-01-13,0.0,3.0,Fukui
2016-01-14,8.0,3.0,Fukui
2016-01-15,0.0,3.0,Fukui
2016-01-16,0.0,3.0,Fukui
2016-01-17,7.0,2.0,Fukui
2016-01-18,0.0,2.0,Fukui
2016-01-19,0.0,2.0,Fukui
2016-01-20,0.0,2.0,Fukui
2016-01-21,0.0,2.0,Fukui
2016-01-22,0.0,2.0,Fukui
2016-01-23,0.0,2.0,Fukui
2016-01-24,0.0,7.0,Fukui
2016-01-25,0.0,7.0,Fukui
2016-01-26,8.0,7.0,Fukui
2016-01-27,8.0,7.0,Fukui
2016-01-28,0.0,7.0,Fukui
2016-01-29,14.0,7.0,Fukui
2016-01-30,0.0,7.0,Fukui
2016-01-31,0.0,7.0,Fukui
2016-02-01,0.0,7.0,Fukui
2016-02-02,0.0,7.0,Fukui
2016-02-03,8.0,7.0,Fukui
2016-02-04,0.0,7.0,Fukui
2016-02-05,0.0,7.0,Fukui
2016-02-06,7.0,7.0,Fukui
2016-02-07,7.0,18.0,Fukui
2016-02-08,15.0,18.0,Fukui
2016-02-09,22.0,18.0,Fukui
2016-02-10,7.0,18.0,Fukui
2016-02-11,14.0,18.0,Fukui
2016-02-12,7.0,18.0,Fukui
2016-02-13,0.0,18.0,Fukui
2016-02-14,7.0,8.0,Fukui
2016-02-15,7.0,8.0,Fukui
2016-02-16,7.0,8.0,Fukui
2016-02-17,0.0,8.0,Fukui
2016-02-18,0.0,8.0,Fukui
2016-02-19,0.0,8.0,Fukui
2016-02-20,0.0,8.0,Fukui
2016-02-21,22.0,12.0,Fukui
2016-02-22,15.0,12.0,Fukui
2016-02-23,0.0,12.0,Fukui
2016-02-24,0.0,12.0,Fukui
2016-02-25,0.0,12.0,Fukui
2016-02-26,7.0,12.0,Fukui
2016-02-27,7.0,12.0,Fukui
2016-02-28,7.0,17.0,Fukui
2016-02-29,7.0,17.0,Fukui
2016-03-01,0.0,17.0,Fukui
2016-03-02,8.0,17.0,Fukui
2016-03-03,0.0,17.0,Fukui
2016-03-04,8.0,17.0,Fukui
2016-03-05,38.0,17.0,Fukui
2016-03-06,100.0,71.0,Fukui
2016-03-07,29.0,71.0,Fukui
2016-03-08,21.0,71.0,Fukui
2016-03-09,29.0,71.0,Fukui
2016-03-10,37.0,71.0,Fukui
2016-03-11,36.0,71.0,Fukui
2016-03-12,52.0,71.0,Fukui
2016-03-13,34.0,57.0,Fukui
2016-03-14,28.0,57.0,Fukui
2016-03-15,43.0,57.0,Fukui
2016-03-16,59.0,57.0,Fukui
2016-03-17,43.0,57.0,Fukui
2016-03-18,14.0,57.0,Fukui
2016-03-19,7.0,57.0,Fukui
2016-03-20,14.0,36.0,Fukui
2016-03-21,14.0,36.0,Fukui
2016-03-22,36.0,36.0,Fukui
2016-03-23,22.0,36.0,Fukui
2016-03-24,35.0,36.0,Fukui
2016-03-25,14.0,36.0,Fukui
2016-03-26,7.0,36.0,Fukui
2016-03-27,7.0,12.0,Fukui
2016-03-28,14.0,12.0,Fukui
2016-03-29,7.0,12.0,Fukui
2016-03-30,20.0,12.0,Fukui
2016-03-31,7.0,12.0,Fukui
2016-04-01,0.0,12.0,Fukui
2016-04-02,0.0,12.0,Fukui
2016-04-03,27.0,17.0,Fukui
2016-04-04,13.0,17.0,Fukui
2016-04-05,0.0,17.0,Fukui
2016-04-06,14.0,17.0,Fukui
2016-04-07,7.0,17.0,Fukui
2016-04-08,7.0,17.0,Fukui
2016-04-09,14.0,17.0,Fukui
2016-04-10,0.0,2.0,Fukui
2016-04-11,0.0,2.0,Fukui
2016-04-12,0.0,2.0,Fukui
2016-04-13,0.0,2.0,Fukui
2016-04-14,7.0,2.0,Fukui
2016-04-15,0.0,2.0,Fukui
2016-04-16,0.0,2.0,Fukui
2016-04-17,6.0,8.0,Fukui
2016-04-18,14.0,8.0,Fukui
2016-04-19,7.0,8.0,Fukui
2016-04-20,7.0,8.0,Fukui
2016-04-21,0.0,8.0,Fukui
2016-04-22,0.0,8.0,Fukui
2016-04-23,0.0,8.0,Fukui
2016-04-24,0.0,8.0,Fukui
2016-04-25,0.0,8.0,Fukui
2016-04-26,14.0,8.0,Fukui
2016-04-27,14.0,8.0,Fukui
2016-04-28,0.0,8.0,Fukui
2016-04-29,6.0,8.0,Fukui
2016-04-30,0.0,8.0,Fukui
2016-05-01,13.0,10.0,Fukui
2016-05-02,13.0,10.0,Fukui
2016-05-03,0.0,10.0,Fukui
2016-05-04,0.0,10.0,Fukui
2016-05-05,19.0,10.0,Fukui
2016-05-06,0.0,10.0,Fukui
2016-05-07,0.0,10.0,Fukui
2016-05-08,0.0,5.0,Fukui
2016-05-09,7.0,5.0,Fukui
2016-05-10,0.0,5.0,Fukui
2016-05-11,7.0,5.0,Fukui
2016-05-12,0.0,5.0,Fukui
2016-05-13,0.0,5.0,Fukui
2016-05-14,7.0,5.0,Fukui
2016-05-15,6.0,12.0,Fukui
2016-05-16,6.0,12.0,Fukui
2016-05-17,0.0,12.0,Fukui
2016-05-18,0.0,12.0,Fukui
2016-05-19,7.0,12.0,Fukui
2016-05-20,27.0,12.0,Fukui
2016-05-21,7.0,12.0,Fukui
2016-05-22,0.0,8.0,Fukui
2016-05-23,14.0,8.0,Fukui
2016-05-24,0.0,8.0,Fukui
2016-05-25,7.0,8.0,Fukui
2016-05-26,7.0,8.0,Fukui
2016-05-27,7.0,8.0,Fukui
2016-05-28,0.0,8.0,Fukui
2016-05-29,6.0,3.0,Fukui
2016-05-30,0.0,3.0,Fukui
2016-05-31,0.0,3.0,Fukui
2016-06-01,7.0,3.0,Fukui
2016-06-02,0.0,3.0,Fukui
2016-06-03,0.0,3.0,Fukui
2016-06-04,0.0,3.0,Fukui
2016-06-05,0.0,3.0,Fukui
2016-06-06,0.0,3.0,Fukui
2016-06-07,0.0,3.0,Fukui
2016-06-08,7.0,3.0,Fukui
2016-06-09,0.0,3.0,Fukui
2016-06-10,7.0,3.0,Fukui
2016-06-11,0.0,3.0,Fukui
2016-06-12,0.0,0.0,Fukui
2016-06-13,0.0,0.0,Fukui
2016-06-14,0.0,0.0,Fukui
2016-06-15,0.0,0.0,Fukui
2016-06-16,0.0,0.0,Fukui
2016-06-17,0.0,0.0,Fukui
2016-06-18,0.0,0.0,Fukui
2016-06-19,0.0,2.0,Fukui
2016-06-20,7.0,2.0,Fukui
2016-06-21,0.0,2.0,Fukui
2016-06-22,0.0,2.0,Fukui
2016-06-23,0.0,2.0,Fukui
2016-06-24,0.0,2.0,Fukui
2016-06-25,0.0,2.0,Fukui
2016-06-26,0.0,3.0,Fukui
2016-06-27,7.0,3.0,Fukui
2016-06-28,0.0,3.0,Fukui
2016-06-29,7.0,3.0,Fukui
2016-06-30,0.0,3.0,Fukui
2016-07-01,0.0,3.0,Fukui
2016-07-02,0.0,3.0,Fukui
2016-07-03,0.0,0.0,Fukui
2016-07-04,0.0,0.0,Fukui
2016-07-05,0.0,0.0,Fukui
2016-07-06,0.0,0.0,Fukui
2016-07-07,0.0,0.0,Fukui
2016-07-08,0.0,0.0,Fukui
2016-07-09,0.0,0.0,Fukui
2016-07-10,0.0,0.0,Fukui
2016-07-11,0.0,0.0,Fukui
2016-07-12,0.0,0.0,Fukui
2016-07-13,0.0,0.0,Fukui
2016-07-14,0.0,0.0,Fukui
2016-07-15,0.0,0.0,Fukui
2016-07-16,0.0,0.0,Fukui
2016-07-17,0.0,1.0,Fukui
2016-07-18,0.0,1.0,Fukui
2016-07-19,0.0,1.0,Fukui
2016-07-20,0.0,1.0,Fukui
2016-07-21,0.0,1.0,Fukui
2016-07-22,0.0,1.0,Fukui
2016-07-23,49.0,1.0,Fukui
2016-07-24,0.0,3.0,Fukui
2016-07-25,0.0,3.0,Fukui
2016-07-26,0.0,3.0,Fukui
2016-07-27,48.0,3.0,Fukui
2016-07-28,49.0,3.0,Fukui
2016-07-29,0.0,3.0,Fukui
2016-07-30,0.0,3.0,Fukui
2016-07-31,97.0,6.0,Fukui
2016-08-01,0.0,6.0,Fukui
2016-08-02,0.0,6.0,Fukui
2016-08-03,0.0,6.0,Fukui
2016-08-04,49.0,6.0,Fukui
2016-08-05,0.0,6.0,Fukui
2016-08-06,56.0,6.0,Fukui
2016-08-07,0.0,1.0,Fukui
2016-08-08,51.0,1.0,Fukui
2016-08-09,0.0,1.0,Fukui
2016-08-10,0.0,1.0,Fukui
2016-08-11,0.0,1.0,Fukui
2016-08-12,0.0,1.0,Fukui
2016-08-13,0.0,1.0,Fukui
2016-08-14,0.0,3.0,Fukui
2016-08-15,0.0,3.0,Fukui
2016-08-16,50.0,3.0,Fukui
2016-08-17,0.0,3.0,Fukui
2016-08-18,0.0,3.0,Fukui
2016-08-19,0.0,3.0,Fukui
2016-08-20,57.0,3.0,Fukui
2016-08-21,57.0,5.0,Fukui
2016-08-22,0.0,5.0,Fukui
2016-08-23,0.0,5.0,Fukui
2016-08-24,49.0,5.0,Fukui
2016-08-25,51.0,5.0,Fukui
2016-08-26,0.0,5.0,Fukui
2016-08-27,0.0,5.0,Fukui
2016-08-28,0.0,2.0,Fukui
2016-08-29,51.0,2.0,Fukui
2016-08-30,0.0,2.0,Fukui
2016-08-31,0.0,2.0,Fukui
2016-09-01,0.0,2.0,Fukui
2016-09-02,0.0,2.0,Fukui
2016-09-03,0.0,2.0,Fukui
2016-09-04,0.0,2.0,Fukui
2016-09-05,0.0,2.0,Fukui
2016-09-06,0.0,2.0,Fukui
2016-09-07,0.0,2.0,Fukui
2016-09-08,0.0,2.0,Fukui
2016-09-09,0.0,2.0,Fukui
2016-09-10,53.0,2.0,Fukui
2016-09-11,0.0,6.0,Fukui
2016-09-12,100.0,6.0,Fukui
2016-09-13,52.0,6.0,Fukui
2016-09-14,0.0,6.0,Fukui
2016-09-15,0.0,6.0,Fukui
2016-09-16,54.0,6.0,Fukui
2016-09-17,0.0,6.0,Fukui
2016-09-18,0.0,3.0,Fukui
2016-09-19,0.0,3.0,Fukui
2016-09-20,50.0,3.0,Fukui
2016-09-21,0.0,3.0,Fukui
2016-09-22,0.0,3.0,Fukui
2016-09-23,0.0,3.0,Fukui
2016-09-24,53.0,3.0,Fukui
2016-09-25,0.0,2.0,Fukui
2016-09-26,0.0,2.0,Fukui
2016-09-27,0.0,2.0,Fukui
2016-09-28,0.0,2.0,Fukui
2016-09-29,53.0,2.0,Fukui
2016-09-30,0.0,2.0,Fukui
2016-10-01,0.0,2.0,Fukui
2016-10-02,0.0,6.0,Fukui
2016-10-03,0.0,6.0,Fukui
2016-10-04,0.0,6.0,Fukui
2016-10-05,0.0,6.0,Fukui
2016-10-06,0.0,6.0,Fukui
2016-10-07,0.0,6.0,Fukui
2016-10-08,0.0,6.0,Fukui
2016-10-09,0.0,5.0,Fukui
2016-10-10,57.0,5.0,Fukui
2016-10-11,0.0,5.0,Fukui
2016-10-12,0.0,5.0,Fukui
2016-10-13,0.0,5.0,Fukui
2016-10-14,0.0,5.0,Fukui
2016-10-15,0.0,5.0,Fukui
2016-10-16,0.0,6.0,Fukui
2016-10-17,58.0,6.0,Fukui
2016-10-18,0.0,6.0,Fukui
2016-10-19,0.0,6.0,Fukui
2016-10-20,0.0,6.0,Fukui
2016-10-21,0.0,6.0,Fukui
2016-10-22,0.0,6.0,Fukui
2016-10-23,0.0,7.0,Fukui
2016-10-24,0.0,7.0,Fukui
2016-10-25,62.0,7.0,Fukui
2016-10-26,0.0,7.0,Fukui
2016-10-27,0.0,7.0,Fukui
2016-10-28,0.0,7.0,Fukui
2016-10-29,0.0,7.0,Fukui
2016-10-30,0.0,0.0,Fukui
2016-10-31,0.0,0.0,Fukui
2016-11-01,0.0,0.0,Fukui
2016-11-02,0.0,0.0,Fukui
2016-11-03,0.0,0.0,Fukui
2016-11-04,0.0,0.0,Fukui
2016-11-05,0.0,0.0,Fukui
2016-11-06,0.0,2.0,Fukui
2016-11-07,0.0,2.0,Fukui
2016-11-08,0.0,2.0,Fukui
2016-11-09,0.0,2.0,Fukui
2016-11-10,0.0,2.0,Fukui
2016-11-11,0.0,2.0,Fukui
2016-11-12,0.0,2.0,Fukui
2016-11-13,0.0,2.0,Fukui
2016-11-14,0.0,2.0,Fukui
2016-11-15,0.0,2.0,Fukui
2016-11-16,0.0,2.0,Fukui
2016-11-17,0.0,2.0,Fukui
2016-11-18,0.0,2.0,Fukui
2016-11-19,0.0,2.0,Fukui
2016-11-20,0.0,0.0,Fukui
2016-11-21,0.0,0.0,Fukui
2016-11-22,0.0,0.0,Fukui
2016-11-23,0.0,0.0,Fukui
2016-11-24,0.0,0.0,Fukui
2016-11-25,0.0,0.0,Fukui
2016-11-26,0.0,0.0,Fukui
2016-11-27,0.0,2.0,Fukui
2016-11-28,0.0,2.0,Fukui
2016-11-29,0.0,2.0,Fukui
2016-11-30,0.0,2.0,Fukui
2016-12-01,0.0,2.0,Fukui
2016-12-02,0.0,2.0,Fukui
2016-12-03,0.0,2.0,Fukui
2016-12-04,0.0,0.0,Fukui
2016-12-05,0.0,0.0,Fukui
2016-12-06,0.0,0.0,Fukui
2016-12-07,0.0,0.0,Fukui
2016-12-08,0.0,0.0,Fukui
2016-12-09,0.0,0.0,Fukui
2016-12-10,0.0,0.0,Fukui
2016-12-11,0.0,0.0,Fukui
2016-12-12,0.0,0.0,Fukui
2016-12-13,0.0,0.0,Fukui
2016-12-14,0.0,0.0,Fukui
2016-12-15,0.0,0.0,Fukui
2016-12-16,0.0,0.0,Fukui
2016-12-17,0.0,0.0,Fukui
2016-12-18,0.0,1.0,Fukui
2016-12-19,0.0,1.0,Fukui
2016-12-20,0.0,1.0,Fukui
2016-12-21,0.0,1.0,Fukui
2016-12-22,0.0,1.0,Fukui
2016-12-23,0.0,1.0,Fukui
2016-12-24,0.0,1.0,Fukui
2016-12-25,0.0,1.0,Fukui
2016-12-26,0.0,1.0,Fukui
2016-12-27,0.0,1.0,Fukui
2016-12-28,0.0,1.0,Fukui
2016-12-29,0.0,1.0,Fukui
2016-12-30,0.0,1.0,Fukui
2016-12-31,0.0,1.0,Fukui
2017-01-01,0.0,0.0,Fukui
2017-01-02,0.0,0.0,Fukui
2017-01-03,0.0,0.0,Fukui
2017-01-04,0.0,0.0,Fukui
2017-01-05,0.0,0.0,Fukui
2017-01-06,0.0,0.0,Fukui
2017-01-07,0.0,0.0,Fukui
2017-01-08,0.0,3.0,Fukui
2017-01-09,0.0,3.0,Fukui
2017-01-10,0.0,3.0,Fukui
2017-01-11,0.0,3.0,Fukui
2017-01-12,10.0,3.0,Fukui
2017-01-13,10.0,3.0,Fukui
2017-01-14,0.0,3.0,Fukui
2017-01-15,0.0,1.0,Fukui
2017-01-16,0.0,1.0,Fukui
2017-01-17,0.0,1.0,Fukui
2017-01-18,10.0,1.0,Fukui
2017-01-19,0.0,1.0,Fukui
2017-01-20,0.0,1.0,Fukui
2017-01-21,0.0,1.0,Fukui
2017-01-22,0.0,1.0,Fukui
2017-01-23,0.0,1.0,Fukui
2017-01-24,0.0,1.0,Fukui
2017-01-25,10.0,1.0,Fukui
2017-01-26,0.0,1.0,Fukui
2017-01-27,0.0,1.0,Fukui
2017-01-28,0.0,1.0,Fukui
2017-01-29,9.0,7.0,Fukui
2017-01-30,10.0,7.0,Fukui
2017-01-31,10.0,7.0,Fukui
2017-02-01,10.0,7.0,Fukui
2017-02-02,0.0,7.0,Fukui
2017-02-03,0.0,7.0,Fukui
2017-02-04,10.0,7.0,Fukui
2017-02-05,0.0,4.0,Fukui
2017-02-06,0.0,4.0,Fukui
2017-02-07,10.0,4.0,Fukui
2017-02-08,0.0,4.0,Fukui
2017-02-09,0.0,4.0,Fukui
2017-02-10,10.0,4.0,Fukui
2017-02-11,9.0,4.0,Fukui
2017-02-12,9.0,9.0,Fukui
2017-02-13,0.0,9.0,Fukui
2017-02-14,10.0,9.0,Fukui
2017-02-15,21.0,9.0,Fukui
2017-02-16,0.0,9.0,Fukui
2017-02-17,0.0,9.0,Fukui
2017-02-18,28.0,9.0,Fukui
2017-02-19,0.0,4.0,Fukui
2017-02-20,0.0,4.0,Fukui
2017-02-21,10.0,4.0,Fukui
2017-02-22,10.0,4.0,Fukui
2017-02-23,0.0,4.0,Fukui
2017-02-24,10.0,4.0,Fukui
2017-02-25,0.0,4.0,Fukui
2017-02-26,0.0,26.0,Fukui
2017-02-27,38.0,26.0,Fukui
2017-02-28,28.0,26.0,Fukui
2017-03-01,38.0,26.0,Fukui
2017-03-02,9.0,26.0,Fukui
2017-03-03,29.0,26.0,Fukui
2017-03-04,46.0,26.0,Fukui
2017-03-05,18.0,24.0,Fukui
2017-03-06,36.0,24.0,Fukui
2017-03-07,45.0,24.0,Fukui
2017-03-08,18.0,24.0,Fukui
2017-03-09,9.0,24.0,Fukui
2017-03-10,9.0,24.0,Fukui
2017-03-11,28.0,24.0,Fukui
2017-03-12,62.0,42.0,Fukui
2017-03-13,42.0,42.0,Fukui
2017-03-14,85.0,42.0,Fukui
2017-03-15,19.0,42.0,Fukui
2017-03-16,37.0,42.0,Fukui
2017-03-17,29.0,42.0,Fukui
2017-03-18,28.0,42.0,Fukui
2017-03-19,55.0,49.0,Fukui
2017-03-20,100.0,49.0,Fukui
2017-03-21,53.0,49.0,Fukui
2017-03-22,27.0,49.0,Fukui
2017-03-23,28.0,49.0,Fukui
2017-03-24,67.0,49.0,Fukui
2017-03-25,19.0,49.0,Fukui
2017-03-26,19.0,21.0,Fukui
2017-03-27,18.0,21.0,Fukui
2017-03-28,19.0,21.0,Fukui
2017-03-29,36.0,21.0,Fukui
2017-03-30,17.0,21.0,Fukui
2017-03-31,9.0,21.0,Fukui
2017-04-01,28.0,21.0,Fukui
2017-04-02,46.0,21.0,Fukui
2017-04-03,0.0,21.0,Fukui
2017-04-04,38.0,21.0,Fukui
2017-04-05,47.0,21.0,Fukui
2017-04-06,29.0,21.0,Fukui
2017-04-07,0.0,21.0,Fukui
2017-04-08,0.0,21.0,Fukui
2017-04-09,37.0,20.0,Fukui
2017-04-10,20.0,20.0,Fukui
2017-04-11,10.0,20.0,Fukui
2017-04-12,30.0,20.0,Fukui
2017-04-13,20.0,20.0,Fukui
2017-04-14,20.0,20.0,Fukui
2017-04-15,9.0,20.0,Fukui
2017-04-16,0.0,11.0,Fukui
2017-04-17,29.0,11.0,Fukui
2017-04-18,20.0,11.0,Fukui
2017-04-19,0.0,11.0,Fukui
2017-04-20,10.0,11.0,Fukui
2017-04-21,0.0,11.0,Fukui
2017-04-22,19.0,11.0,Fukui
2017-04-23,0.0,8.0,Fukui
2017-04-24,19.0,8.0,Fukui
2017-04-25,10.0,8.0,Fukui
2017-04-26,9.0,8.0,Fukui
2017-04-27,10.0,8.0,Fukui
2017-04-28,10.0,8.0,Fukui
2017-04-29,0.0,8.0,Fukui
2017-04-30,9.0,9.0,Fukui
2017-05-01,9.0,9.0,Fukui
2017-05-02,18.0,9.0,Fukui
2017-05-03,26.0,9.0,Fukui
2017-05-04,0.0,9.0,Fukui
2017-05-05,0.0,9.0,Fukui
2017-05-06,0.0,9.0,Fukui
2017-05-07,28.0,9.0,Fukui
2017-05-08,0.0,9.0,Fukui
2017-05-09,9.0,9.0,Fukui
2017-05-10,28.0,9.0,Fukui
2017-05-11,9.0,9.0,Fukui
2017-05-12,0.0,9.0,Fukui
2017-05-13,0.0,9.0,Fukui
2017-05-14,27.0,13.0,Fukui
2017-05-15,10.0,13.0,Fukui
2017-05-16,0.0,13.0,Fukui
2017-05-17,10.0,13.0,Fukui
2017-05-18,0.0,13.0,Fukui
2017-05-19,19.0,13.0,Fukui
2017-05-20,10.0,13.0,Fukui
2017-05-21,10.0,8.0,Fukui
2017-05-22,10.0,8.0,Fukui
2017-05-23,20.0,8.0,Fukui
2017-05-24,0.0,8.0,Fukui
2017-05-25,9.0,8.0,Fukui
2017-05-26,0.0,8.0,Fukui
2017-05-27,0.0,8.0,Fukui
2017-05-28,0.0,1.0,Fukui
2017-05-29,10.0,1.0,Fukui
2017-05-30,0.0,1.0,Fukui
2017-05-31,0.0,1.0,Fukui
2017-06-01,0.0,1.0,Fukui
2017-06-02,10.0,1.0,Fukui
2017-06-03,0.0,1.0,Fukui
2017-06-04,10.0,1.0,Fukui
2017-06-05,0.0,1.0,Fukui
2017-06-06,0.0,1.0,Fukui
2017-06-07,0.0,1.0,Fukui
2017-06-08,10.0,1.0,Fukui
2017-06-09,0.0,1.0,Fukui
2017-06-10,0.0,1.0,Fukui
2017-06-11,0.0,3.0,Fukui
2017-06-12,0.0,3.0,Fukui
2017-06-13,10.0,3.0,Fukui
2017-06-14,0.0,3.0,Fukui
2017-06-15,0.0,3.0,Fukui
2017-06-16,0.0,3.0,Fukui
2017-06-17,9.0,3.0,Fukui
2017-06-18,0.0,3.0,Fukui
2017-06-19,9.0,3.0,Fukui
2017-06-20,0.0,3.0,Fukui
2017-06-21,0.0,3.0,Fukui
2017-06-22,0.0,3.0,Fukui
2017-06-23,0.0,3.0,Fukui
2017-06-24,9.0,3.0,Fukui
2017-06-25,0.0,1.0,Fukui
2017-06-26,9.0,1.0,Fukui
2017-06-27,0.0,1.0,Fukui
2017-06-28,0.0,1.0,Fukui
2017-06-29,0.0,1.0,Fukui
2017-06-30,0.0,1.0,Fukui
2017-07-01,0.0,1.0,Fukui
2017-07-02,50.0,3.0,Fukui
2017-07-03,0.0,3.0,Fukui
2017-07-04,0.0,3.0,Fukui
2017-07-05,0.0,3.0,Fukui
2017-07-06,0.0,3.0,Fukui
2017-07-07,0.0,3.0,Fukui
2017-07-08,0.0,3.0,Fukui
2017-07-09,51.0,1.0,Fukui
2017-07-10,0.0,1.0,Fukui
2017-07-11,0.0,1.0,Fukui
2017-07-12,0.0,1.0,Fukui
2017-07-13,0.0,1.0,Fukui
2017-07-14,0.0,1.0,Fukui
2017-07-15,0.0,1.0,Fukui
2017-07-16,0.0,1.0,Fukui
2017-07-17,47.0,1.0,Fukui
2017-07-18,0.0,1.0,Fukui
2017-07-19,0.0,1.0,Fukui
2017-07-20,0.0,1.0,Fukui
2017-07-21,0.0,1.0,Fukui
2017-07-22,0.0,1.0,Fukui
2017-07-23,0.0,3.0,Fukui
2017-07-24,0.0,3.0,Fukui
2017-07-25,49.0,3.0,Fukui
2017-07-26,0.0,3.0,Fukui
2017-07-27,0.0,3.0,Fukui
2017-07-28,0.0,3.0,Fukui
2017-07-29,51.0,3.0,Fukui
2017-07-30,0.0,5.0,Fukui
2017-07-31,48.0,5.0,Fukui
2017-08-01,97.0,5.0,Fukui
2017-08-02,0.0,5.0,Fukui
2017-08-03,48.0,5.0,Fukui
2017-08-04,0.0,5.0,Fukui
2017-08-05,49.0,5.0,Fukui
2017-08-06,0.0,0.0,Fukui
2017-08-07,0.0,0.0,Fukui
2017-08-08,0.0,0.0,Fukui
2017-08-09,0.0,0.0,Fukui
2017-08-10,0.0,0.0,Fukui
2017-08-11,0.0,0.0,Fukui
2017-08-12,0.0,0.0,Fukui
2017-08-13,44.0,1.0,Fukui
2017-08-14,0.0,1.0,Fukui
2017-08-15,0.0,1.0,Fukui
2017-08-16,0.0,1.0,Fukui
2017-08-17,0.0,1.0,Fukui
2017-08-18,0.0,1.0,Fukui
2017-08-19,0.0,1.0,Fukui
2017-08-20,0.0,4.0,Fukui
2017-08-21,47.0,4.0,Fukui
2017-08-22,0.0,4.0,Fukui
2017-08-23,47.0,4.0,Fukui
2017-08-24,0.0,4.0,Fukui
2017-08-25,0.0,4.0,Fukui
2017-08-26,0.0,4.0,Fukui
2017-08-27,50.0,1.0,Fukui
2017-08-28,0.0,1.0,Fukui
2017-08-29,0.0,1.0,Fukui
2017-08-30,0.0,1.0,Fukui
2017-08-31,0.0,1.0,Fukui
2017-09-01,0.0,1.0,Fukui
2017-09-02,0.0,1.0,Fukui
2017-09-03,50.0,1.0,Fukui
2017-09-04,0.0,1.0,Fukui
2017-09-05,0.0,1.0,Fukui
2017-09-06,0.0,1.0,Fukui
2017-09-07,0.0,1.0,Fukui
2017-09-08,0.0,1.0,Fukui
2017-09-09,0.0,1.0,Fukui
2017-09-10,49.0,3.0,Fukui
2017-09-11,0.0,3.0,Fukui
2017-09-12,48.0,3.0,Fukui
2017-09-13,0.0,3.0,Fukui
2017-09-14,0.0,3.0,Fukui
2017-09-15,50.0,3.0,Fukui
2017-09-16,0.0,3.0,Fukui
2017-09-17,0.0,5.0,Fukui
2017-09-18,0.0,5.0,Fukui
2017-09-19,0.0,5.0,Fukui
2017-09-20,0.0,5.0,Fukui
2017-09-21,51.0,5.0,Fukui
2017-09-22,50.0,5.0,Fukui
2017-09-23,50.0,5.0,Fukui
2017-09-24,0.0,4.0,Fukui
2017-09-25,100.0,4.0,Fukui
2017-09-26,0.0,4.0,Fukui
2017-09-27,0.0,4.0,Fukui
2017-09-28,0.0,4.0,Fukui
2017-09-29,0.0,4.0,Fukui
2017-09-30,0.0,4.0,Fukui
2017-10-01,96.0,5.0,Fukui
2017-10-02,0.0,5.0,Fukui
2017-10-03,0.0,5.0,Fukui
2017-10-04,0.0,5.0,Fukui
2017-10-05,99.0,5.0,Fukui
2017-10-06,49.0,5.0,Fukui
2017-10-07,0.0,5.0,Fukui
2017-10-08,0.0,1.0,Fukui
2017-10-09,0.0,1.0,Fukui
2017-10-10,0.0,1.0,Fukui
2017-10-11,0.0,1.0,Fukui
2017-10-12,0.0,1.0,Fukui
2017-10-13,0.0,1.0,Fukui
2017-10-14,0.0,1.0,Fukui
2017-10-15,0.0,5.0,Fukui
2017-10-16,0.0,5.0,Fukui
2017-10-17,0.0,5.0,Fukui
2017-10-18,0.0,5.0,Fukui
2017-10-19,50.0,5.0,Fukui
2017-10-20,49.0,5.0,Fukui
2017-10-21,94.0,5.0,Fukui
2017-10-22,0.0,0.0,Fukui
2017-10-23,0.0,0.0,Fukui
2017-10-24,0.0,0.0,Fukui
2017-10-25,0.0,0.0,Fukui
2017-10-26,0.0,0.0,Fukui
2017-10-27,0.0,0.0,Fukui
2017-10-28,50.0,0.0,Fukui
2017-10-29,0.0,3.0,Fukui
2017-10-30,0.0,3.0,Fukui
2017-10-31,0.0,3.0,Fukui
2017-11-01,0.0,3.0,Fukui
2017-11-02,50.0,3.0,Fukui
2017-11-03,0.0,3.0,Fukui
2017-11-04,44.0,3.0,Fukui
2017-11-05,46.0,3.0,Fukui
2017-11-06,0.0,3.0,Fukui
2017-11-07,48.0,3.0,Fukui
2017-11-08,0.0,3.0,Fukui
2017-11-09,47.0,3.0,Fukui
2017-11-10,47.0,3.0,Fukui
2017-11-11,46.0,3.0,Fukui
2017-11-12,0.0,1.0,Fukui
2017-11-13,47.0,1.0,Fukui
2017-11-14,0.0,1.0,Fukui
2017-11-15,0.0,1.0,Fukui
2017-11-16,0.0,1.0,Fukui
2017-11-17,0.0,1.0,Fukui
2017-11-18,0.0,1.0,Fukui
2017-11-19,0.0,2.0,Fukui
2017-11-20,0.0,2.0,Fukui
